SampleID,StationID,Station_D,SampleDateTime,Latitude,Longitude,Depth,Temperature,Salinity,Sigma-T,Conductivity,Beam Attenuation,Chla Fluor,Dissolved Oxygen (Model 43),DO % Saturation,Air Irradiance,Water Irradiance,pH <2>,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,Data Source,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments
BH,H2,Inner Harbor,10/23/17 12:38,42.3699199,-71.0564037,1.11,15.15,30.71,,,,3.36,7.13,84.5,,,7.94,2117.756534,2043.852035,15.14999962,11.10999966,7.840321357,892.3336517,895.5614457,1936.015241,73.75464996,34.08222631,33.07532619,1.171377304,0,0,16.33307387,1.804008825,1.14813137,910.7665659,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,H2,Inner Harbor,10/23/17 12:39,42.3699199,-71.0564037,10.6,14.4,31.58,,,,2.34,6.84,80.2,,,7.97,2142.492966,2063.666475,14.39999962,20.60000038,7.852720968,861.3889257,864.5346773,1953.829427,76.33829814,33.49874563,34.85540945,1.145791593,0,0,16.15022619,1.85289928,1.180330505,878.5016876,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,H4,Inner Harbor,10/23/17 12:39,42.3684072,-71.0456438,1.13,15,31.2,,,,3.91,7.39,87.5,,,7.95,2151.605147,2063.205335,15,11.13000011,7.87895015,818.1198695,821.0848629,1950.054511,81.84621354,31.30450823,36.59602378,1.275716488,0,0,15.79144483,1.995569241,1.271393218,834.885546,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,H4,Inner Harbor,10/23/17 13:04,42.3684072,-71.0456438,12,14.33,31.73,,,,2.04,7.11,83.3,,,7.97,2144.756547,2050.962574,14.32999992,22,7.897379929,769.0045551,771.8154314,1937.009696,84.00767486,29.94516145,38.47869127,1.26566763,0,0,15.54005374,2.036557786,1.297660634,784.226207,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,M2,Mystic,10/23/17 13:06,42.3737104,-71.0463438,1.32,14.96,30.88,,,,3.08,7.08,83.5,,,7.96,2153.078392,2065.135771,14.96000004,11.31999969,7.882104555,814.4141944,817.3672599,1952.18602,81.69304186,31.2565695,36.24779869,1.271796587,0,0,15.85560253,1.995630043,1.270190842,831.0719366,Y,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,M2,Mystic,10/23/17 13:18,42.3737104,-71.0463438,1.32,14.96,30.88,,,,3.08,7.08,83.5,,,7.96,2147.394452,2060.624753,14.96000004,11.31999969,7.878928006,818.7459629,821.7147355,1948.267057,80.93489495,31.42281934,36.00856119,1.262528256,0,0,15.88857707,1.977109729,1.258402919,835.4923056,Y,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,M2,Mystic,10/23/17 13:19,42.3737104,-71.0463438,13.1,14.4,31.66,,,,2.55,6.99,82,,,7.96,2144.07965,2050.852549,14.39999962,23.10000038,7.895661271,773.0088249,775.8318166,1937.061054,83.74336812,30.04821368,38.27763251,1.267194,0,0,15.56468247,2.03076198,1.293939782,788.3652315,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,SG1,,6/15/18 12:06,42.346533,-70.960667,1,12.35,,,,,,,,,,,2103.919189,1983.074951,12.35000038,11,7.895552817,548.0154184,550.0699847,1863.296242,96.9566392,22.8220556,45.35652993,1.366068852,0,0,14.47042541,2.364387595,1.496671261,557.8318073,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
BH,SG1,,6/15/18 12:06,42.346533,-70.960667,1,12.35,,,,,,,,,,,2108.121826,1979.253296,12.35000038,11,7.919769315,516.5948417,518.531609,1856.02107,101.6982544,21.53393024,47.27622537,1.440204777,0,0,14.15388063,2.482402174,1.570621222,525.8490787,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
BH,SG1,,6/15/18 11:56,42.346533,-70.960667,5,9.5,,,,,,,,,,,2105.73877,1986.026733,9.5,15,7.938904339,484.848719,486.7347684,1868.924127,94.93032078,22.17231583,45.83426125,1.13142085,0,0,14.68367111,2.311086751,1.455143903,492.4033558,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
