SampleID,StationID,Station_D,SampleDateTime,Latitude,Longitude,Depth,Temperature,Salinity,Sigma-T,Conductivity,Beam Attenuation,Chla Fluor,Dissolved Oxygen (Model 43),DO % Saturation,Air Irradiance,Water Irradiance,pH <2>,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,Data Source
WN1730C9,F23,F23-m,2017-04-24 15:52:09,42.339168548584,-70.9411697387695,13.3401260375977,8.52404594421387,30.5074157714844,23.6734428405762,32.4333038330078,2.27754545211792,1.81058120727539,10.7270526885986,111.69416809082,1948.52868652344,2.07509517669678,8.31152534484863,2094.835205078125,1896.1199951171875,8.524045944213867,23.340126037597656,8.278984590156139,268.00915190893727,269.06506276120024,1742.3510754142983,141.0878523992909,12.681097962737379,68.60837158596364,1.7054767258441428,0,0,11.646929391405033,3.4320094429053913,2.156429703131517,271.99690615132397,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730CB,F23,F23-s,2017-04-24 15:53:39,42.3394966125488,-70.9410018920898,1.51896691322327,8.60191631317139,30.2476749420166,23.4585990905762,32.2430534362793,2.32146644592285,1.31723892688751,10.8490085601807,112.976051330566,2073.80932617188,1389.55822753906,8.32544803619385,2080.322998046875,1869.1600341796875,8.601916313171387,11.518966674804688,8.312446328677472,244.41647487093658,245.37845468352302,1708.9127642235965,148.6956065444563,11.551612702983237,72.17932484368177,1.8445953689467192,0,0,11.235115644610868,3.6301701298120452,2.2791245836928247,248.06688734370292,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730A0,F22,F22-m,2017-04-24 13:25:56,42.4806594848633,-70.6181640625,15.7682971954346,7.10795307159424,31.3100166320801,24.4995517730713,32.0093650817871,1.05760884284973,5.07868194580078,11.7251901626587,118.777481079102,1655.0009765625,32.1885223388672,8.25052928924561,2147.64111328125,1948.956787109375,7.107953071594238,25.76829719543457,8.280352934957518,267.9004909953083,268.9757606476155,1794.6361382691323,141.07411284303078,13.246498289823426,69.35061559490445,1.5113881896737245,0,0,11.821868704939195,3.414858000035156,2.1460029419508158,271.63302711039853,N,ToRies_Labprocessed2017sharedSeaGlass
WN174074,N18,N18-d,2017-05-16 11:18:53,42.3651924133301,-70.7789306640625,25.8599624633789,7.36142635345459,30.8340034484863,24.0917930603027,31.7833805084229,0.877710342407227,1.20349931716919,10.3760223388672,105.406944274902,2122.48388671875,8.21654033660889,8.18830680847168,2109.699951171875,1948.4056396484375,7.36142635345459,35.859962463378906,8.198632633623879,328.93751026273804,330.25337085688307,1814.3882273867043,117.85057444983016,16.166837431923252,58.34389633249114,1.2730490102769174,0,0,13.016857232513932,2.8542592742795834,1.7922084062749593,333.57460202435595,N,ToRies_Labprocessed2017sharedSeaGlass
WN174076,N18,N18-m,2017-05-16 11:20:36,42.3649864196777,-70.7788238525391,11.9925737380981,8.49850177764893,30.4473876953125,23.6301364898682,32.3539657592773,0.986133098602295,2.60032510757446,10.4482173919678,108.685607910156,2125.17358398438,85.4522171020508,8.19711112976074,2095.23779296875,1916.3116455078125,8.498501777648926,21.992572784423828,8.233758846052453,302.714721471701,303.9077648709864,1772.9630697762877,129.00795269776398,14.340658796547535,62.733903278349466,1.5309016077018156,0,0,12.304547966899673,3.1399227104139165,1.972441105728724,307.21358462903316,N,ToRies_Labprocessed2017sharedSeaGlass
WN174078,N18,N18-s,2017-05-16 11:22:02,42.364803314209,-70.7787704467773,1.53200435638428,9.25121784210205,29.8680057525635,23.0650749206543,32.4076156616211,1.03881430625916,0.768688023090363,10.5001525878906,110.693061828613,2134.75317382813,1543.19909667969,8.21193218231201,2058.21240234375,1886.72265625,9.25121784210205,11.532004356384277,8.218670632469475,314.0045592786744,315.22999472802786,1747.848861110667,124.32327479215064,14.550495849673279,60.15155253619749,1.571599859634907,0,0,12.449208335501904,3.0419530304486626,1.9095847621709263,318.8411978046717,N,ToRies_Labprocessed2017sharedSeaGlass
WN174094,F22,F22-d,2017-05-16 12:50:29,42.4788703918457,-70.6177825927734,77.4365463256836,4.56152105331421,32.4526786804199,25.7039375305176,30.9123077392578,0.963662326335907,0.28985470533371,10.2034435272217,97.9933471679688,2085.34814453125,0.941881537437439,8.14608097076416,2202.056396484375,2085.126220703125,4.561521053314209,87.4365463256836,8.084531707756469,437.2177161167423,439.03268500776926,1969.2708948817647,92.34865456370528,23.506688498298697,47.33155574778045,0.7649587022121103,0,0,15.24643406792248,2.1958108457695142,1.3803153944506372,442.6604012289084,N,ToRies_Labprocessed2017sharedSeaGlass
WN174097,F22,F22-m,2017-05-16 12:54:17,42.4783935546875,-70.6171951293945,7.91674518585205,8.42346858978271,29.6285133361816,22.999683380127,31.5043678283691,1.08358716964722,2.59226632118225,10.5882997512817,109.377456665039,2086.82568359375,77.5098342895508,8.19408893585205,2028.7440185546875,1886.508056640625,8.423468589782715,17.916744232177734,8.16142712273582,357.6824518968267,359.09351539454786,1763.6585791091168,105.78062710417277,17.068872101074373,52.26663961081905,1.2645115970631449,0,0,13.545106235844443,2.5874664141126957,1.6210050449148485,362.9813343049995,N,ToRies_Labprocessed2017sharedSeaGlass
WN174098,F22,F22-s,2017-05-16 12:55:22,42.4782180786133,-70.6170349121094,1.83658599853516,9.4190845489502,29.2261581420898,22.538366317749,31.9127521514893,1.20708644390106,1.30769574642181,10.6872072219849,112.628959655762,2088.0634765625,1702.75207519531,8.21146106719971,2009.4879150390625,1847.9857177734375,9.419084548950195,11.836585998535156,8.207367856342605,318.68760651924475,319.92860045395696,1715.768128814403,117.47847242437193,14.739065006446998,57.23344148251215,1.5357407238564829,0,0,12.678674902302687,2.88423607834064,1.8073118904479921,323.6371010940233,N,ToRies_Labprocessed2017sharedSeaGlass
WN1740A1,N04,N04-d,2017-05-16 13:29:02,42.4435005187988,-70.7377471923828,48.1637916564941,4.75290966033936,32.132884979248,25.4298820495605,30.7845191955566,0.971074402332306,0.343914538621902,10.1450033187866,97.6815719604492,2087.84326171875,0.98921525478363,8.15182304382324,2179.279296875,2039.239990234375,4.7529096603393555,58.16379165649414,8.153847649844533,365.4428174688174,366.95598139142214,1914.6847698837812,105.00626646483023,19.54893834385258,53.68185369063991,0.9072038273103582,0,0,14.14524566326767,2.515424327662867,1.5798084192970372,370.02987351670834,N,ToRies_Labprocessed2017sharedSeaGlass
WN1740A4,N04,N04-m,2017-05-16 13:31:46,42.4434127807617,-70.7376708984375,11.2035074234009,8.36712455749512,29.8777351379395,23.2028999328613,31.6993312835693,1.21477663516998,3.32257795333862,10.7251453399658,110.825721740723,2115.095703125,74.4658584594727,8.19766902923584,2049.830810546875,1895.3206787109375,8.367124557495117,21.203508377075195,8.188786473806655,335.2414914350082,336.5650002478034,1765.9206588349587,113.39448821767657,16.00557112402777,55.781098167667786,1.346595921950586,0,0,13.096026401139856,2.7683721087036948,1.7356339713511275,340.19435300832146,N,ToRies_Labprocessed2017sharedSeaGlass
WN1740A5,N04,N04-s,2017-05-16 13:32:46,42.4434051513672,-70.7376556396484,1.74666178226471,9.50808715820313,29.3731632232666,22.6394805908203,32.1297416687012,1.16225671768188,1.13627374172211,10.7386808395386,113.504165649414,2114.0732421875,867.246520996094,8.20557403564453,2014.8905029296875,1852.1387939453125,9.508087158203125,11.746662139892578,8.206276099755064,320.1343341615035,321.37951757506386,1719.0688539153925,118.32054188364681,14.749387052358578,57.63693266031318,1.5500040150231027,0,0,12.638945861340895,2.9028649262301,1.8201426243231187,325.12717335606544,N,ToRies_Labprocessed2017sharedSeaGlass
