DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV,Timestamp,TIME_BIN,lat,lon,ele
03/19/19,13:50:10,3.16,8.30,15.84,51060.0,9.95,92.1,1.37,-60.5,8.66,32.52,32680,-0.2,2019-03-19 13:50:10,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:15,3.15,8.28,22.74,51080.0,10.06,93.2,1.56,-59.4,8.63,32.53,32690,-0.2,2019-03-19 13:50:15,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:20,3.15,8.26,26.33,51070.0,10.15,94.0,2.10,-58.6,8.81,32.53,32690,-0.2,2019-03-19 13:50:20,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:25,3.15,8.25,26.00,51120.0,10.19,94.4,1.69,-58.0,8.66,32.57,32720,-0.2,2019-03-19 13:50:25,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:30,3.15,8.24,25.77,51120.0,10.32,95.6,1.76,-57.5,8.66,32.56,32710,-0.2,2019-03-19 13:50:30,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:35,3.15,8.24,21.29,51070.0,10.46,96.9,1.65,-57.1,8.71,32.52,32680,-0.2,2019-03-19 13:50:35,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:40,3.16,8.23,16.50,51040.0,10.52,97.4,1.55,-56.8,8.69,32.51,32660,-0.2,2019-03-19 13:50:40,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:45,3.17,8.23,12.05,51080.0,10.60,98.2,1.28,-56.5,8.79,32.54,32690,-0.2,2019-03-19 13:50:45,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:50,3.19,8.22,7.57,51070.0,10.67,98.9,0.97,-56.3,8.56,32.54,32680,-0.2,2019-03-19 13:50:50,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:55,3.24,8.22,3.13,51100.0,10.68,99.1,0.78,-56.1,8.86,32.56,32700,-0.2,2019-03-19 13:50:55,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
04/12/19,13:23:20,4.43,8.22,28.76,50690.0,11.29,107.8,5.79,-56.3,8.44,32.46,32440,-0.2,2019-04-12 13:23:20,2019-04-12-13-23,42.180219562724233,-70.330662913620472,9.75
04/12/19,13:23:25,4.44,8.22,23.56,50670.0,11.31,108.0,6.42,-56.3,8.13,32.45,32430,-0.2,2019-04-12 13:23:25,2019-04-12-13-23,42.180219562724233,-70.330662913620472,9.75
04/12/19,13:23:30,4.43,8.22,18.27,50680.0,11.32,108.1,6.11,-56.3,7.49,32.45,32430,-0.2,2019-04-12 13:23:30,2019-04-12-13-23,42.180219562724233,-70.330662913620472,9.75
04/12/19,13:23:35,4.43,8.22,13.97,50630.0,11.35,108.4,6.83,-56.4,8.26,32.41,32400,-0.3,2019-04-12 13:23:35,2019-04-12-13-23,42.180219562724233,-70.330662913620472,9.75
04/12/19,13:23:40,4.43,8.22,9.52,50650.0,11.36,108.5,6.55,-56.5,7.76,32.43,32420,-0.2,2019-04-12 13:23:40,2019-04-12-13-23,42.180219562724233,-70.330662913620472,9.75
04/12/19,13:23:45,4.43,8.23,4.64,50640.0,11.38,108.7,6.10,-56.9,8.28,32.42,32410,-0.3,2019-04-12 13:23:45,2019-04-12-13-23,42.180219562724233,-70.330662913620472,9.75
04/12/19,13:23:50,4.49,8.23,0.15,50440.0,11.39,108.8,4.11,-57.2,8.51,32.29,32280,-0.3,2019-04-12 13:23:50,2019-04-12-13-23,42.180219562724233,-70.330662913620472,9.75
04/12/19,15:57:40,4.30,8.19,24.71,50610.0,10.75,102.3,6.60,-54.9,8.44,32.38,32390,-0.2,2019-04-12 15:57:40,2019-04-12-15-57,42.176011679694057,-70.28158594854176,1.1
04/12/19,15:57:45,4.31,8.19,27.42,50600.0,10.83,103.1,7.00,-54.8,8.39,32.38,32380,-0.2,2019-04-12 15:57:45,2019-04-12-15-57,42.176011679694057,-70.28158594854176,1.1
04/12/19,15:57:50,4.31,8.19,26.70,50590.0,10.90,103.7,6.01,-54.7,8.54,32.37,32370,-0.2,2019-04-12 15:57:50,2019-04-12-15-57,42.176011679694057,-70.28158594854176,1.1
04/12/19,15:57:55,4.30,8.19,26.31,50610.0,10.92,103.9,7.67,-54.8,8.09,32.38,32390,-0.2,2019-04-12 15:57:55,2019-04-12-15-57,42.176011679694057,-70.28158594854176,1.1
04/12/19,15:58:00,4.30,8.19,21.20,50510.0,10.96,104.3,7.26,-54.8,8.09,32.31,32320,-0.2,2019-04-12 15:58:00,2019-04-12-15-58,42.175412122160196,-70.281904796138406,3.5
04/12/19,15:58:05,4.31,8.19,14.47,50590.0,10.99,104.6,6.07,-54.8,8.54,32.37,32370,-0.2,2019-04-12 15:58:05,2019-04-12-15-58,42.175412122160196,-70.281904796138406,3.5
04/12/19,15:58:10,4.32,8.19,8.17,50560.0,11.03,105.0,7.17,-54.9,8.56,32.35,32360,-0.2,2019-04-12 15:58:10,2019-04-12-15-58,42.175412122160196,-70.281904796138406,3.5
04/12/19,15:58:15,4.35,8.20,2.12,50610.0,11.09,105.6,5.89,-55.2,8.43,32.39,32390,-0.2,2019-04-12 15:58:15,2019-04-12-15-58,42.175412122160196,-70.281904796138406,3.5
