20190425_SBNMS,,,,,,,,,,,,,
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
4/25/19,11:05:20,4.72,8.17,50260,22.92,0.93,9.87,94.8,-53.9,8.56,32.2,32160,-0.2
4/25/19,11:05:25,4.21,8.13,50650,29.28,0.78,10,95,-51.5,8.29,32.4,32410,-0.2
4/25/19,11:05:30,4.18,8.11,50710,32.75,18.37,10.03,95.2,-50.4,8.29,32.44,32450,-0.2
4/25/19,11:05:35,4.19,8.11,50710,32.28,1.05,10.08,95.7,-50.4,8.14,32.44,32450,-0.2
4/25/19,11:05:40,4.19,8.11,50730,32.24,2.21,10.12,96.1,-50.4,8.26,32.45,32470,-0.2
4/25/19,11:05:45,4.19,8.11,50740,31.63,0.88,10.16,96.5,-50.5,7.83,32.46,32470,-0.3
4/25/19,11:05:50,4.19,8.11,50680,28.99,0.81,10.18,96.7,-50.4,8.13,32.42,32430,-0.2
4/25/19,11:05:55,4.4,8.12,50570,25.24,1.15,10.15,96.8,-50.7,8.24,32.37,32360,-0.2
4/25/19,11:06:00,4.97,8.14,50250,19.26,1.66,10.09,97.5,-52.2,8.16,32.22,32160,-0.2
4/25/19,11:06:05,5.48,8.17,50120,15.66,1.88,10.04,98.2,-54.1,8.13,32.2,32070,-0.2
4/25/19,11:06:10,5.98,8.19,49940,11.73,0.89,9.98,98.7,-54.9,8.29,32.13,31960,-0.2
4/25/19,11:06:15,6.03,8.19,49920,7.09,0.62,10.46,103.6,-55.4,7.59,32.12,31950,-0.2
4/25/19,11:06:20,6.08,8.21,49860,3.46,0.73,10.49,104,-56.2,8.23,32.09,31910,-0.2
4/25/19,11:06:25,6.78,8.21,5476,0.07,-4.59,12.54,104.3,-56.6,8.26,2.95,3505,-0.3
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
4/25/19,11:07:00,7.72,7.96,32.1,0.07,-3.6,12.26,102.4,-42.9,8.48,0.01,20.5,-0.2
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
4/25/19,11:30:50,4.03,8.1,50670,27.64,0.74,10.11,95.6,-50,8.43,32.39,32430,-0.2
4/25/19,11:30:55,4.03,8.1,50730,27.47,1.05,10.13,95.8,-50,8.13,32.43,32470,-0.2
4/25/19,11:31:00,4.03,8.1,50700,25.23,0.53,10.15,96,-49.9,8.23,32.4,32440,-0.2
4/25/19,11:31:05,4.07,8.1,50690,23.04,0.72,10.15,96.1,-50,8.31,32.41,32440,-0.2
4/25/19,11:31:10,4.31,8.12,50510,20.6,0.55,10.11,96.2,-50.8,8.09,32.32,32330,-0.2
4/25/19,11:31:15,4.67,8.13,50350,15.67,0.79,10.07,96.6,-51.5,8.24,32.26,32220,-0.3
4/25/19,11:31:20,5.4,8.17,50000,10.16,0.63,9.94,97,-53.8,8.18,32.1,32000,-0.2
4/25/19,11:31:25,5.76,8.19,49870,5.73,0.6,10.32,101.5,-54.9,8.03,32.06,31920,-0.3
4/25/19,11:31:30,6.42,8.19,49730,0.6,0.42,10.37,103.6,-55.2,8.29,32.03,31820,-0.2
4/25/19,11:31:35,7.86,8.18,5396,0.08,-0.59,12.3,105,-55.1,8.29,2.91,3453,-0.2
4/25/19,11:31:40,7.91,8.17,62,0.06,-1.75,12.68,106.4,-54.5,8.43,0.02,39.7,-0.2
4/25/19,11:31:45,7.91,8.13,44.3,0.07,-1.02,12.63,106,-52.2,8.48,0.02,28.3,-0.2
4/25/19,11:31:50,7.92,8.11,38.8,0.07,-0.66,12.6,105.7,-50.9,8.39,0.01,24.8,-0.2
4/25/19,11:31:55,7.88,8.04,34.6,0.06,-0.14,12.53,105.1,-47.1,8.44,0.01,22.1,-0.2
4/25/19,11:32:00,7.9,8.02,31.8,0.07,-0.02,12.47,104.6,-46.2,7.73,0.01,20.4,-0.2
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
4/25/19,12:17:50,13.76,6.94,2,0.05,3.14,10.32,99.2,14.2,8.51,0,1.3,-0.3
4/25/19,12:17:55,13.55,6.96,1.8,0.06,3.48,10.35,99,13.3,8.41,0,1.1,-0.2
4/25/19,12:18:00,13.48,7,1.5,0.05,3.19,10.35,98.9,11.2,8.43,0,0.9,-0.2
4/25/19,12:18:05,13.43,7,1.4,0.05,0.84,10.37,98.9,10.9,8.43,0,0.9,-0.2
4/25/19,12:18:10,13.25,6.99,1.2,0.05,0.11,10.41,98.9,11.5,8.39,0,0.7,-0.2
4/25/19,12:18:15,13.09,6.99,1.1,0.05,2.69,10.44,98.8,11.5,8.41,0,0.7,-0.2
4/25/19,12:18:20,12.97,7.02,0.7,0.05,3.56,10.46,98.8,10,8.43,0,0.4,-0.2
4/25/19,12:18:25,12.8,7.03,0.6,0.05,1.44,10.51,98.8,9.5,8.48,0,0.4,-0.2
4/25/19,12:18:30,9.87,7.07,0.5,0.05,2.74,11.23,98.8,7,8.28,0,0.3,-0.2
4/25/19,12:18:35,7.25,8.14,49580,0.62,0.44,8.93,90.9,-52.5,8.46,32.01,31730,-0.2
4/25/19,12:18:40,7.29,8.15,49700,0.6,0.4,8.88,90.5,-53.2,8.29,32.1,31810,-0.2
4/25/19,12:18:45,6.53,8.16,49860,1.93,0.43,9.3,93.2,-53.9,8.49,32.14,31910,-0.2
4/25/19,12:18:50,5.74,8.18,49920,8.01,0.56,9.48,93.2,-54.6,8.53,32.09,31950,-0.2
4/25/19,12:18:55,4.99,8.17,50240,14.54,0.57,9.74,94.1,-53.9,8.44,32.22,32150,-0.2
4/25/19,12:19:00,4.46,8.13,50480,20.49,0.93,9.93,94.9,-51.7,8.34,32.32,32310,-0.2
4/25/19,12:19:05,4.22,8.12,50610,26.05,1.42,10.01,95.1,-50.8,8.23,32.37,32390,-0.2
4/25/19,12:19:10,4.19,8.12,50680,27.21,2.39,10.06,95.5,-50.7,8.09,32.42,32430,-0.3
4/25/19,12:19:15,4.2,8.12,50640,27.15,1.59,10.13,96.2,-50.7,8.26,32.39,32410,-0.2
4/25/19,12:19:20,4.21,8.12,50590,24.99,0.99,10.19,96.7,-50.8,8.33,32.36,32380,-0.2
4/25/19,12:19:25,4.27,8.12,50530,23.13,0.78,10.25,97.4,-50.9,8.04,32.32,32330,-0.2
4/25/19,12:19:30,4.38,8.12,50480,20.3,0.93,10.28,97.9,-51,8.24,32.31,32310,-0.2
4/25/19,12:19:35,4.58,8.14,50400,15.53,1,10.25,98.2,-51.8,8.33,32.27,32250,-0.2
4/25/19,12:19:40,5.23,8.16,50090,10.86,0.79,10.17,98.8,-53.4,8.13,32.15,32060,-0.3
4/25/19,12:19:45,5.63,8.19,49900,6.56,0.54,10.16,99.6,-54.9,8.33,32.06,31930,-0.3
4/25/19,12:19:50,6.15,8.2,49790,2.47,0.57,10.09,100.1,-55.6,8.29,32.04,31860,-0.2
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
