EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source
WN221,N21,2022-02-10 10:03:00,42.38866425,-70.78527832,1.514207602,A,30.84889603,10.21546459,0.607665837,97.99157715,,32.47025681,25.72293663,4.507845402,0.75674665,,MassBay_2020_to_2022_CONCAT
WN221,N18,2022-02-10 10:22:00,42.36621094,-70.77690125,20.69801903,E,31.62900734,10.08978367,0.666487575,98.49102783,,32.72338104,25.85331345,5.157801628,0.623131275,,MassBay_2020_to_2022_CONCAT
WN221,N18,2022-02-10 10:23:00,42.36639786,-70.77681732,15.96296597,D,31.56902122,10.07147789,0.700345933,98.17912292,,32.70790863,25.84684753,5.105885506,0.638382435,,MassBay_2020_to_2022_CONCAT
WN221,N18,2022-02-10 10:24:00,42.36676025,-70.77661133,11.21634674,C,31.04311562,10.29503822,0.750272751,99.13536072,,32.560112,25.78031921,4.640989304,0.700965643,,MassBay_2020_to_2022_CONCAT
WN221,N18,2022-02-10 10:26:00,42.36701965,-70.776474,6.35074091,B,30.95351601,10.33395672,0.828319192,99.31426239,,32.52988815,25.76395607,4.56844759,0.714252353,,MassBay_2020_to_2022_CONCAT
WN221,N18,2022-02-10 10:26:00,42.36717987,-70.77636719,1.467758536,A,29.57333183,10.65926933,0.776021302,98.9127121,,32.22073746,25.64673996,3.235025644,1.07137692,,MassBay_2020_to_2022_CONCAT
WN221,N07,2022-02-10 10:53:00,42.35742188,-70.70616913,46.3800621,E,32.01999283,10.05123329,0.646402121,99.00215149,,32.81472397,25.88577271,5.5070199970000004,0.585448861,,MassBay_2020_to_2022_CONCAT
WN221,N07,2022-02-10 10:54:00,42.35772324,-70.70616913,35.73374557,D,32.01648712,10.05672264,0.697189689,99.05903625,,32.81493378,25.88570595,5.508158684,0.586063325,,MassBay_2020_to_2022_CONCAT
WN221,N07,2022-02-10 10:55:00,42.35809708,-70.7062149,24.70150375,C,32.01091385,10.06187344,0.667348504,99.1079483,,32.8148613,25.8856411,5.5073995589999996,0.588763237,,MassBay_2020_to_2022_CONCAT
WN221,N07,2022-02-10 10:56:00,42.35833359,-70.7061615,14.15431309,B,32.00896454,10.07409477,0.766914964,99.23643494,,32.81447983,25.88483238,5.510911942,0.584941983,,MassBay_2020_to_2022_CONCAT
WN221,N07,2022-02-10 10:57:00,42.35856247,-70.70609283,1.636136532,A,32.00971603,10.08859921,0.492106438,99.39723206,,32.81415939,25.88357353,5.518519878,0.566660345,,MassBay_2020_to_2022_CONCAT
WN221,F15,2022-02-10 11:19:00,42.31620407,-70.7271347,34.4534111,E,31.8303318,10.14130878,0.742525399,99.41260529,,32.79405975,25.89170265,5.313552856,0.604779184,,MassBay_2020_to_2022_CONCAT
WN221,F15,2022-02-10 11:20:00,42.31645966,-70.72703552,27.8427639,D,31.83060265,10.15515423,0.761176229,99.55729675,,32.79401398,25.89117813,5.31730175,0.606476247,,MassBay_2020_to_2022_CONCAT
WN221,F15,2022-02-10 11:21:00,42.31661606,-70.72693634,20.98252869,C,31.81780434,10.16079712,0.795895398,99.58761597,,32.79270554,25.89124489,5.307228088,0.604946256,,MassBay_2020_to_2022_CONCAT
WN221,F15,2022-02-10 11:21:00,42.31682587,-70.72684479,13.45175457,B,31.81907082,10.1659193,0.803068757,99.65057373,,32.7927475,25.89059448,5.31253767,0.608328164,,MassBay_2020_to_2022_CONCAT
WN221,F15,2022-02-10 11:22:00,42.31710434,-70.72676849,1.403890967,A,31.78387833,10.19235611,0.33112064,99.84304047,,32.78324509,25.88584518,5.28740263,0.594066381,,MassBay_2020_to_2022_CONCAT
WN221,F10,2022-02-10 11:52:00,42.24321365,-70.63624573,28.01114845,E,31.49222946,10.25399208,0.96891737,99.66264343,,32.74324799,25.88962364,4.973855495,0.660374284,,MassBay_2020_to_2022_CONCAT
WN221,F10,2022-02-10 11:53:00,42.24362183,-70.63611603,21.45284081,D,31.42057228,10.26561451,1.108941793,99.60032654,,32.7325058,25.88871384,4.904246807,0.660540581,,MassBay_2020_to_2022_CONCAT
WN221,F10,2022-02-10 11:54:00,42.24386978,-70.63600159,15.74232864,B,31.3515873,10.30226326,1.124723196,99.79055023,,32.71945572,25.88538742,4.839595318,0.673182845,,MassBay_2020_to_2022_CONCAT
WN221,F10,2022-02-10 11:54:00,42.24407578,-70.63587952,10.41508675,C,31.29546547,10.32822227,0.942232609,99.91468048,,32.70508957,25.87921715,4.791098595,0.685062766,,MassBay_2020_to_2022_CONCAT
WN221,F10,2022-02-10 11:55:00,42.2442627,-70.63575745,1.781289935,A,31.03410339,10.3782053,0.388205647,99.78087616,,32.63811111,25.85109138,4.556138992,0.772062838,,MassBay_2020_to_2022_CONCAT
WN221,F06,2022-02-10 12:22:00,42.17125702,-70.57582092,30.55726624,E,31.59486961,10.190732,0.761750102,99.2694931,,32.7786293,25.90850258,5.056582451,0.592406929,,MassBay_2020_to_2022_CONCAT
WN221,F06,2022-02-10 12:23:00,42.1714859,-70.57576752,23.77828789,D,31.56502342,10.20367718,0.826023579,99.32820129,,32.7741127,25.90785217,5.029782295,0.59083277,,MassBay_2020_to_2022_CONCAT
WN221,F06,2022-02-10 12:23:00,42.17169189,-70.57567596,16.84261894,C,31.55019569,10.23132801,0.926163971,99.5694809,,32.77118301,25.90667152,5.019005299,0.59859097,,MassBay_2020_to_2022_CONCAT
WN221,F06,2022-02-10 12:24:00,42.17214966,-70.57543945,8.687736511,B,31.23378372,10.35268402,1.073648691,100.0226135,,32.67990875,25.86419106,4.745088577,0.662261784,,MassBay_2020_to_2022_CONCAT
