EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source,Air Irradiance,Water Irradiance,Station_D,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate
WN1880AE,N04,2018-09-05 14:26:00-0400,42.44449997,-70.73733521,46.93239594,E,34.60974884,7.505631924,0.367959708,80.25247955,8.116449356,32.11355209,24.82191849,9.242839813,0.967777073,,MassBay_2017_to_2022,2126.448242,3.393877029,,,,,,,,,,,,,,,,,,,,
WN1880AF,N04,2018-09-05 14:28:00-0400,42.44466782,-70.73733521,35.29283524,D,35.82041168,8.286736488,0.535340667,91.17612457,8.103312492,32.22397995,24.70174026,10.50256157,0.577389121,,MassBay_2017_to_2022,2124.946777,6.868150234,,,,,,,,,,,,,,,,,,,,
WN1880B0,N04,2018-09-05 14:29:00-0400,42.44483185,-70.73733521,24.22084618,C,36.6048584,8.646447182,1.713271141,97.14332581,8.103320122,32.13817596,24.46156311,11.49022865,0.653001904,,MassBay_2017_to_2022,2133.529053,26.00259972,,,,,,,,,,,,,,,,,,,,
WN1880B1,N04,2018-09-05 14:31:00-0400,42.44505692,-70.73733521,7.925110817,10,42.81218719,8.772795677,3.697483778,114.5087128,8.128466606,31.51259804,22.32981873,19.11719704,1.076866984,,MassBay_2017_to_2022,2160.26416,413.5195313,,,,,,,,,,,,,,,,,,,,
WN1880B2,N04,2018-09-05 14:32:00-0400,42.44516754,-70.73733521,1.967397213,A,46.07620621,8.173358917,1.096970558,114.1975632,8.121992111,31.32325554,21.18137169,22.88706779,0.920434833,,MassBay_2017_to_2022,2155.821045,1673.338989,,,,,,,,,,,,,,,,,,,,
WN1880BC,N01,2018-09-05 15:07:00-0400,42.41933441,-70.8658371,27.54479408,E,35.35289764,6.808979034,0.88819778,74.49638367,8.105155945,31.90385437,24.4799099,10.33842087,1.309403062,,MassBay_2017_to_2022,2165.263672,4.852885723,,,,,,,,,,,,,,,,,,,,
WN1880BC,N01,2018-09-05 15:07:48-0400,42.4193344116211,-70.865837097168,27.5447940826416,E,35.352897644043,6.80897903442383,0.888197779655457,74.4963836669922,8.10515594482422,31.9038543701172,24.4799098968506,10.3384208679199,1.30940306186676,,ToRies_Labprocessed2018_sharedSeaGlass,2165.263671875,4.85288572311401,N01-s,2187.602294921875,2085.239013671875,10.338420867919922,37.54479217529297,7.859819772454684,625.3598705469884,627.7661376315599,1970.0930685566425,87.52265545880523,27.623203959849068,41.447243644100745,1.0306612911052375,0.0,0.0,15.552476248820968,2.10864509119378,1.3342108358335294,635.5000979842886,N
WN1880BD,N01,2018-09-05 15:08:00-0400,42.41949844,-70.86599731,20.76292038,D,36.07654572,6.70903492,1.37607348,74.84538269,8.065368652,31.82816505,24.26299286,11.2528944,1.07882762,,MassBay_2017_to_2022,2177.02124,16.96007729,,,,,,,,,,,,,,,,,,,,
WN1880BE,N01,2018-09-05 15:10:00-0400,42.41966629,-70.86616516,13.22583008,C,38.32184219,7.224520683,4.69167757,85.24324036,8.056083679,31.6918602,23.64376068,13.94731903,0.979276001,,MassBay_2017_to_2022,2173.566895,75.58881378,,,,,,,,,,,,,,,,,,,,
WN1880BF,N01,2018-09-05 15:11:00-0400,42.41983414,-70.86633301,5.792691708,B,42.56321335,8.466317177,5.827154636,110.2822723,8.072177887,31.35346031,22.22343063,19.05792618,1.174777508,,MassBay_2017_to_2022,2164.662598,375.140564,,,,,,,,,,,,,,,,,,,,
WN1880C0,N01,2018-09-05 15:11:00-0400,42.41999817,-70.86633301,1.646743059,A,44.75245667,8.520226479,2.116384506,116.1481323,8.094968796,31.27709579,21.5206089,21.53331566,1.039332271,,MassBay_2017_to_2022,2179.988525,986.6516724,,,,,,,,,,,,,,,,,,,,
